service_level,total_safety_stock,total_reorder_point,total_average_inventory,total_holding_cost,total_ordering_cost,total_stockout_cost,total_inventory_cost
90%,289.1867530319758,3533.3675723267543,1911.2771626793651,9556.385813396826,31285.71428571429,2797.779895693642,43639.87999480475
95%,372.77979883028127,3616.96061812506,1994.8702084776708,9974.351042388353,31285.71428571429,1215.5697024621888,42475.63503056483
99%,526.4102613785185,3770.5910806732973,2148.5006710259076,10742.503355129538,31285.71428571429,197.45978067406722,42225.677421517896
