service_level,total_safety_stock,total_reorder_point,total_average_inventory,total_holding_cost,total_ordering_cost,total_expected_annual_shortage,total_stockout_cost,total_inventory_cost
90%,290.70527898319557,3378.0209350660034,1834.3631070245995,9171.815535122998,31285.71428571429,562.4942197966205,2812.471098983103,43270.00091982039
95%,374.7372736892755,3462.052929772083,1918.3951017306792,9591.975508653395,31285.71428571429,244.3905370995453,1221.9526854977264,42099.64247986541
99%,529.1744531490982,3616.490109231906,2072.8322811905023,10364.16140595251,31285.71428571429,39.69932925832761,198.49664629163803,41848.37233795843
