sku,model,mape,rmse,is_best
SKU-01,Seasonal Baseline,10.530153626582134,20.389451404822086,False
SKU-01,Seasonal + Promo,9.903878013886274,16.870005258019802,True
SKU-01,Linear Regression,15.540706741755256,21.526522116701084,False
SKU-02,Seasonal Baseline,12.483052732116375,15.690760760391298,False
SKU-02,Seasonal + Promo,11.818791341866605,13.8610998777109,True
SKU-02,Linear Regression,16.597531134039688,16.859828112847488,False
SKU-03,Seasonal Baseline,11.204130351666201,12.531899801696326,False
SKU-03,Seasonal + Promo,10.24723494355128,9.60628575906813,True
SKU-03,Linear Regression,12.58796816981324,10.189052835875986,False
SKU-04,Seasonal Baseline,14.195701132728614,10.673496560890973,False
SKU-04,Seasonal + Promo,12.373357174573913,7.605063388780434,False
SKU-04,Linear Regression,11.692346055294928,7.4582049929226,True
SKU-05,Seasonal Baseline,13.427866707047198,12.336520243401177,True
SKU-05,Seasonal + Promo,13.427866707047198,12.336520243401177,False
SKU-05,Linear Regression,19.206017537261193,15.539338688039699,False
SKU-06,Seasonal Baseline,11.85089179253191,8.747793237151756,False
SKU-06,Seasonal + Promo,10.881241153770125,6.965480198679351,True
SKU-06,Linear Regression,16.315525574659212,10.02497183908339,False
